currency,to_euro,to_isl,date
USD,0.95302,3.4492,6/23/2022
USD,0.95021,3.4407,6/24/2022
USD,0.95021,3.4407,6/25/2022
USD,0.95021,3.4407,6/26/2022
USD,0.94589,3.4061,6/27/2022
USD,0.94688,3.434,6/28/2022
USD,0.95084,3.4557,6/29/2022
USD,0.96274,3.5036,6/30/2022
USD,0.95923,3.522,7/1/2022
USD,0.95923,3.522,7/2/2022
USD,0.95923,3.522,7/3/2022
USD,0.95648,3.506,7/4/2022
USD,0.97182,3.5319,7/5/2022
USD,0.98261,3.526,7/6/2022
USD,0.98232,3.4919,7/7/2022
USD,0.98396,3.4758,7/8/2022
USD,0.98396,3.4758,7/9/2022
USD,0.98396,3.4758,7/10/2022
USD,0.9903,3.4767,7/11/2022
USD,0.99582,3.4841,7/12/2022
USD,0.99334,3.4632,7/13/2022
USD,0.9995,3.4898,7/14/2022
USD,0.99413,3.4838,7/15/2022
USD,0.99413,3.4838,7/16/2022
USD,0.99413,3.4838,7/17/2022
USD,0.98707,3.4551,7/18/2022
USD,0.97609,3.4451,7/19/2022
USD,0.98049,3.4461,7/20/2022
USD,0.98049,3.4516,7/21/2022
USD,0.98135,3.4429,7/22/2022
USD,0.98135,3.4429,7/23/2022
USD,0.98135,3.4429,7/24/2022
USD,0.97694,3.4389,7/25/2022
USD,0.98775,3.4464,7/26/2022
USD,0.98503,3.4333,7/27/2022
USD,0.98795,3.4283,7/28/2022
USD,0.98058,3.404,7/29/2022
USD,0.98058,3.404,7/30/2022
USD,0.98058,3.404,7/31/2022
USD,0.97723,3.3759,8/1/2022
USD,0.97809,3.373,8/2/2022
USD,0.98097,3.3708,8/3/2022
USD,0.98222,3.3495,8/4/2022
USD,0.97723,3.3258,8/5/2022
USD,0.97723,3.3258,8/6/2022
USD,0.97723,3.3258,8/7/2022
USD,0.98049,3.3234,8/8/2022
USD,0.97714,3.3091,8/9/2022
USD,0.97542,3.2943,8/10/2022
USD,0.96731,3.241,8/11/2022
USD,0.97229,3.2523,8/12/2022
USD,0.97229,3.2523,8/13/2022
USD,0.97229,3.2523,8/14/2022
USD,0.98087,3.2657,8/15/2022
USD,0.98707,3.2659,8/16/2022
USD,0.98386,3.2576,8/17/2022
USD,0.98251,3.2416,8/18/2022
USD,0.99463,3.2702,8/19/2022
USD,0.99463,3.2702,8/20/2022
USD,0.99463,3.2702,8/21/2022
USD,0.9999,3.2775,8/22/2022
USD,1.0074,3.2838,8/23/2022
USD,1.0066,3.2816,8/24/2022
USD,1.003,3.289,8/25/2022
USD,0.9993,3.2514,8/26/2022
USD,0.9993,3.2514,8/27/2022
USD,0.9993,3.2514,8/28/2022
USD,1.0014,3.3192,8/29/2022
USD,0.99661,3.3056,8/30/2022
USD,1,3.3399,8/31/2022
USD,0.9996,3.3631,9/1/2022
USD,1.0007,3.3984,9/2/2022
USD,1.0007,3.3984,9/3/2022
USD,1.0007,3.3984,9/4/2022
USD,1.0081,3.4099,9/5/2022
USD,1.0073,3.4146,9/6/2022
USD,1.0116,3.4449,9/7/2022
USD,0.9991,3.4259,9/8/2022
USD,0.99512,3.4248,9/9/2022
USD,0.99512,3.4248,9/10/2022
USD,0.99512,3.4248,9/11/2022
USD,0.98474,3.3822,9/12/2022
USD,0.9828,3.3538,9/13/2022
USD,1.001,3.4373,9/14/2022
USD,1.0008,3.4412,9/15/2022
USD,1.0046,3.4425,9/16/2022
USD,1.0046,3.4425,9/17/2022
USD,1.0046,3.4425,9/18/2022
USD,1.001,3.4494,9/19/2022
USD,1.0014,3.4454,9/20/2022
USD,1.0095,3.4623,9/21/2022
USD,1.0117,3.4618,9/22/2022
USD,1.0252,3.5013,9/23/2022
USD,1.0252,3.5013,9/24/2022
USD,1.0252,3.5013,9/25/2022
USD,1.0367,3.5319,9/26/2022
USD,1.0369,3.4959,9/27/2022
USD,1.0455,3.5474,9/28/2022
USD,1.0303,3.5465,9/29/2022
USD,1.0259,3.5658,9/30/2022
USD,1.0259,3.5658,10/1/2022
USD,1.0259,3.5658,10/2/2022
USD,1.0242,3.5825,10/3/2022
USD,1.011,3.5269,10/4/2022
USD,1.0086,3.533,10/5/2022
USD,1.0142,3.5341,10/6/2022
USD,1.0207,3.5191,10/7/2022
USD,1.0207,3.5191,10/8/2022
USD,1.0207,3.5191,10/9/2022
USD,1.0312,3.554,10/10/2022
USD,1.0285,3.5767,10/11/2022
USD,1.0303,3.5672,10/12/2022
USD,1.0268,3.5662,10/13/2022
USD,1.0291,3.5443,10/14/2022
USD,1.0291,3.5443,10/15/2022
USD,1.0291,3.5443,10/16/2022
USD,1.0268,3.541,10/17/2022
USD,1.0168,3.5221,10/18/2022
USD,1.0227,3.5414,10/19/2022
USD,1.0193,3.5424,10/20/2022
USD,1.0277,3.5769,10/21/2022
USD,1.0277,3.5769,10/22/2022
USD,1.0277,3.5769,10/23/2022
USD,1.0151,3.5526,10/24/2022
USD,1.0141,3.5554,10/25/2022
USD,0.99771,3.5064,10/26/2022
USD,0.99631,3.5246,10/27/2022
USD,1.0049,3.5388,10/28/2022
USD,1.0049,3.5388,10/29/2022
USD,1.0049,3.5388,10/30/2022
USD,1.0087,3.5236,10/31/2022
USD,1.0053,3.5108,11/1/2022
USD,1.0093,3.5312,11/2/2022
USD,1.0253,3.573,11/3/2022
USD,1.013,3.552,11/4/2022
USD,1.013,3.552,11/5/2022
USD,1.013,3.552,11/6/2022
USD,1.0007,3.5427,11/7/2022
USD,1.0004,3.545,11/8/2022
USD,0.99612,3.5483,11/9/2022
USD,1.0046,3.5617,11/10/2022
USD,0.97012,3.4202,11/11/2022
USD,0.97012,3.4202,11/12/2022
USD,0.97012,3.4202,11/13/2022
USD,0.96909,3.4315,11/14/2022
USD,0.96117,3.4308,11/15/2022
USD,0.96043,3.4272,11/16/2022
USD,0.96909,3.4689,11/17/2022
USD,0.96469,3.4642,11/18/2022
USD,0.96469,3.4642,11/19/2022
USD,0.96469,3.4642,11/20/2022
USD,0.97599,3.4662,11/21/2022
USD,0.97333,3.4665,11/22/2022
USD,0.96852,3.4558,11/23/2022
USD,0.96034,3.4195,11/24/2022
USD,0.96386,3.4266,11/25/2022
USD,0.96386,3.4266,11/26/2022
USD,0.96386,3.4266,11/27/2022
USD,0.95575,3.4409,11/28/2022
USD,0.96469,3.4325,11/29/2022
USD,0.96376,3.4398,11/30/2022
USD,0.95657,3.4094,12/1/2022
USD,0.94895,3.3943,12/2/2022
USD,0.94895,3.3943,12/3/2022
USD,0.94895,3.3943,12/4/2022
USD,0.94455,3.3868,12/5/2022
USD,0.95093,3.4073,12/6/2022
USD,0.94976,3.4438,12/7/2022
USD,0.95066,3.442,12/8/2022
USD,0.94706,3.4215,12/9/2022
USD,0.94706,3.4215,12/10/2022
USD,0.94706,3.4215,12/11/2022
USD,0.94679,3.4304,12/12/2022
USD,0.94832,3.4392,12/13/2022
USD,0.93906,3.4113,12/14/2022
USD,0.94153,3.426,12/15/2022
USD,0.94171,3.455,12/16/2022
USD,0.94171,3.455,12/17/2022
USD,0.94171,3.455,12/18/2022
USD,0.94357,3.4489,12/19/2022
USD,0.94349,3.4682,12/20/2022
USD,0.9402,3.4777,12/21/2022
USD,0.94047,3.4743,12/22/2022
USD,0.94144,3.4871,12/23/2022
USD,0.94144,3.4871,12/24/2022
USD,0.94144,3.4871,12/25/2022
USD,0.94144,3.4871,12/26/2022
USD,0.94127,3.5088,12/27/2022
USD,0.93985,3.5269,12/28/2022
USD,0.93906,3.5285,12/29/2022
USD,0.93756,3.5209,12/30/2022
USD,0.93756,3.5209,12/31/2022
USD,0.93756,3.5209,1/1/2023
USD,0.93607,3.5137,1/2/2023
USD,0.94832,3.5293,1/3/2023
USD,0.94349,3.5284,1/4/2023
USD,0.94331,3.528,1/5/2023
USD,0.95238,3.5582,1/6/2023
USD,0.95238,3.5582,1/7/2023
USD,0.95238,3.5582,1/8/2023
USD,0.93493,3.4917,1/9/2023
USD,0.93257,3.4733,1/10/2023
USD,0.93049,3.4525,1/11/2023
USD,0.92833,3.4249,1/12/2023
USD,0.92473,3.4244,1/13/2023
USD,0.92473,3.4244,1/14/2023
USD,0.92473,3.4244,1/15/2023
USD,0.9249,3.4194,1/16/2023
USD,0.92225,3.4143,1/17/2023
USD,0.92259,3.3697,1/18/2023
USD,0.92464,3.4167,1/19/2023
USD,0.9237,3.4028,1/20/2023
USD,0.9237,3.4028,1/21/2023
USD,0.9237,3.4028,1/22/2023
USD,0.91988,3.3768,1/23/2023
USD,0.92098,3.3773,1/24/2023
USD,0.91929,3.3693,1/25/2023
USD,0.91785,3.4044,1/26/2023
USD,0.92039,3.4379,1/27/2023
USD,0.92039,3.4379,1/28/2023
USD,0.92039,3.4379,1/29/2023
USD,0.91718,3.4657,1/30/2023
USD,0.92311,3.4778,1/31/2023
USD,0.91794,3.4597,2/1/2023
USD,0.91008,3.4198,2/2/2023
USD,0.91433,3.4019,2/3/2023
USD,0.91433,3.4019,2/4/2023
USD,0.91433,3.4019,2/5/2023
USD,0.92799,3.4649,2/6/2023
USD,0.93458,3.4801,2/7/2023
USD,0.93153,3.4847,2/8/2023
USD,0.92842,3.4886,2/9/2023
USD,0.93545,3.5379,2/10/2023
USD,0.93545,3.5379,2/11/2023
USD,0.93545,3.5379,2/12/2023
USD,0.9358,3.5386,2/13/2023
USD,0.92945,3.5063,2/14/2023
USD,0.93458,3.5262,2/15/2023
USD,0.93458,3.5427,2/16/2023
USD,0.94118,3.5624,2/17/2023
USD,0.94118,3.5624,2/18/2023
USD,0.94118,3.5624,2/19/2023
USD,0.93686,3.5631,2/20/2023
USD,0.93773,3.6439,2/21/2023
USD,0.9395,3.6509,2/22/2023
USD,0.94197,3.6173,2/23/2023
USD,0.94607,3.6817,2/24/2023
USD,0.94607,3.6817,2/25/2023
USD,0.94607,3.6817,2/26/2023
USD,0.94751,3.6708,2/27/2023
USD,0.94171,3.6558,2/28/2023
USD,0.93598,3.625,3/1/2023
USD,0.94295,3.6468,3/2/2023
USD,0.94206,3.6659,3/3/2023
USD,0.94206,3.6659,3/4/2023
USD,0.94206,3.6659,3/5/2023
USD,0.93932,3.591,3/6/2023
USD,0.93765,3.6103,3/7/2023
USD,0.94832,3.5904,3/8/2023
USD,0.94751,3.608,3/9/2023
USD,0.94464,3.6008,3/10/2023
USD,0.94464,3.6008,3/11/2023
USD,0.94464,3.6008,3/12/2023
USD,0.93406,3.6254,3/13/2023
USD,0.93136,3.6264,3/14/2023
USD,0.94796,3.6335,3/15/2023
USD,0.94384,3.6706,3/16/2023
USD,0.94135,3.6766,3/17/2023
USD,0.94135,3.6766,3/18/2023
USD,0.94135,3.6766,3/19/2023
USD,0.9331,3.6726,3/20/2023
USD,0.92799,3.6535,3/21/2023
USD,0.92721,3.6353,3/22/2023
USD,0.9192,3.619,3/23/2023
USD,0.93067,3.6068,3/24/2023
USD,0.93067,3.6068,3/25/2023
USD,0.93067,3.6068,3/26/2023
USD,0.92825,3.5656,3/27/2023
USD,0.92242,3.5429,3/28/2023
USD,0.92191,3.5686,3/29/2023
USD,0.91861,3.5876,3/30/2023
USD,0.91954,3.6123,3/31/2023
USD,0.91954,3.6123,4/1/2023
USD,0.91954,3.6123,4/2/2023
USD,0.91996,3.5929,4/3/2023
USD,0.91735,3.5644,4/4/2023
USD,0.91408,3.5856,4/5/2023
USD,0.91617,3.597,4/6/2023
USD,0.91617,3.597,4/7/2023
USD,0.91617,3.597,4/8/2023
USD,0.91617,3.597,4/9/2023
USD,0.91617,3.597,4/10/2023
USD,0.91701,3.6425,4/11/2023
USD,0.91558,3.675,4/12/2023
USD,0.90785,3.6566,4/13/2023
USD,0.9044,3.6561,4/14/2023
USD,0.9044,3.6561,4/15/2023
USD,0.9044,3.6561,4/16/2023
USD,0.91066,3.6431,4/17/2023
USD,0.91141,3.6399,4/18/2023
USD,0.91466,3.6593,4/19/2023
USD,0.91374,3.657,4/20/2023
USD,0.91091,3.6596,4/21/2023
USD,0.91091,3.6596,4/22/2023
USD,0.91091,3.6596,4/23/2023
USD,0.90893,3.6579,4/24/2023
USD,0.90728,3.6424,4/25/2023
USD,0.90588,3.6381,4/26/2023
USD,0.90563,3.6392,4/27/2023
USD,0.91066,3.6371,4/28/2023
USD,0.91066,3.6371,4/29/2023
USD,0.91066,3.6371,4/30/2023
USD,0.91066,3.6371,5/1/2023
USD,0.91199,3.6222,5/2/2023
USD,0.90555,3.637,5/3/2023
USD,0.90302,3.6363,5/4/2023
USD,0.90794,3.6462,5/5/2023
USD,0.90794,3.6462,5/6/2023
USD,0.90794,3.6462,5/7/2023
USD,0.90604,3.6361,5/8/2023
USD,0.91249,3.657,5/9/2023
USD,0.91324,3.6669,5/10/2023
USD,0.91491,3.6477,5/11/2023
USD,0.91811,3.6444,5/12/2023
USD,0.91811,3.6444,5/13/2023
USD,0.91811,3.6444,5/14/2023
USD,0.91946,3.6572,5/15/2023
USD,0.91903,3.6628,5/16/2023
USD,0.92345,3.647,5/17/2023
USD,0.92481,3.639,5/18/2023
USD,0.92524,3.6397,5/19/2023
USD,0.92524,3.6397,5/20/2023
USD,0.92524,3.6397,5/21/2023
USD,0.92404,3.6548,5/22/2023
USD,0.92773,3.6883,5/23/2023
USD,0.92721,3.7177,5/24/2023
USD,0.93153,3.7163,5/25/2023
USD,0.93015,3.7373,5/26/2023
USD,0.93015,3.7373,5/27/2023
USD,0.93015,3.7373,5/28/2023
USD,0.93327,3.7198,5/29/2023
USD,0.93075,3.7128,5/30/2023
USD,0.93607,3.7174,5/31/2023
USD,0.93484,3.7366,6/1/2023
USD,0.92911,3.7453,6/2/2023
USD,0.92911,3.7453,6/3/2023
USD,0.92911,3.7453,6/4/2023
USD,0.93545,3.7414,6/5/2023
USD,0.93607,3.7002,6/6/2023
USD,0.9331,3.6526,6/7/2023
USD,0.93136,3.6636,6/8/2023
USD,0.92764,3.6007,6/9/2023
USD,0.92764,3.6007,6/10/2023
USD,0.92764,3.6007,6/11/2023
USD,0.92894,3.5882,6/12/2023
USD,0.92653,3.5705,6/13/2023
USD,0.92515,3.6018,6/14/2023
USD,0.9243,3.5872,6/15/2023
USD,0.91191,3.5586,6/16/2023
USD,0.91191,3.5586,6/17/2023
USD,0.91191,3.5586,6/18/2023
USD,0.91558,3.6081,6/19/2023
USD,0.91466,3.606,6/20/2023
USD,0.9155,3.6074,6/21/2023
USD,0.91033,3.6274,6/22/2023
USD,0.91878,3.6201,6/23/2023
USD,0.91878,3.6201,6/24/2023
USD,0.91878,3.6201,6/25/2023
USD,0.91592,3.6238,6/26/2023
USD,0.91316,3.6371,6/27/2023
USD,0.91424,3.6764,6/28/2023
USD,0.91424,3.6971,6/29/2023
USD,0.9203,3.7259,6/30/2023
USD,0.9203,3.7259,7/1/2023
USD,0.9203,3.7259,7/2/2023
USD,0.91752,3.7129,7/3/2023
USD,0.91785,3.7027,7/4/2023
USD,0.9192,3.6988,7/5/2023
USD,0.91752,3.6964,7/6/2023
USD,0.91844,3.7131,7/7/2023
USD,0.91844,3.7131,7/8/2023
USD,0.91844,3.7131,7/9/2023
USD,0.91274,3.7046,7/10/2023
USD,0.91,3.7054,7/11/2023
USD,0.90728,3.6699,7/12/2023
USD,0.89429,3.611,7/13/2023
USD,0.89119,3.6092,7/14/2023
USD,0.89119,3.6092,7/15/2023
USD,0.89119,3.6092,7/16/2023
USD,0.89047,3.6418,7/17/2023
USD,0.88849,3.6188,7/18/2023
USD,0.89111,3.5854,7/19/2023
USD,0.8931,3.5943,7/20/2023
USD,0.89904,3.6154,7/21/2023
USD,0.89904,3.6154,7/22/2023
USD,0.89904,3.6154,7/23/2023
USD,0.90123,3.6172,7/24/2023
USD,0.9049,3.7016,7/25/2023
USD,0.90424,3.7062,7/26/2023
USD,0.89888,3.7115,7/27/2023
USD,0.90827,3.6982,7/28/2023
USD,0.90827,3.6982,7/29/2023
USD,0.90827,3.6982,7/30/2023
USD,0.90719,3.6935,7/31/2023
USD,0.91158,3.6465,8/1/2023
USD,0.91033,3.6557,8/2/2023
USD,0.91475,3.6947,8/3/2023
USD,0.91358,3.686,8/4/2023
USD,0.91358,3.686,8/5/2023
USD,0.91358,3.686,8/6/2023
USD,0.91042,3.6722,8/7/2023
USD,0.91374,3.7052,8/8/2023
USD,0.91174,3.7156,8/9/2023
USD,0.90752,3.7186,8/10/2023
USD,0.90876,3.7254,8/11/2023
USD,0.90876,3.7254,8/12/2023
USD,0.90876,3.7254,8/13/2023
USD,0.91491,3.7231,8/14/2023
USD,0.91525,3.7668,8/15/2023
USD,0.91609,3.7497,8/16/2023
USD,0.91743,3.7729,8/17/2023
USD,0.92022,3.7954,8/18/2023
USD,0.92022,3.7954,8/19/2023
USD,0.92022,3.7954,8/20/2023
USD,0.91676,3.7949,8/21/2023
USD,0.91853,3.7723,8/22/2023
USD,0.9255,3.7868,8/23/2023
USD,0.92251,3.7755,8/24/2023
USD,0.92524,3.7933,8/25/2023
USD,0.92524,3.7933,8/26/2023
USD,0.92524,3.7933,8/27/2023
USD,0.92524,3.8009,8/28/2023
USD,0.92567,3.807,8/29/2023
USD,0.91861,3.7982,8/30/2023
USD,0.92013,3.7995,8/31/2023
USD,0.92217,3.7959,9/1/2023
USD,0.92217,3.7959,9/2/2023
USD,0.92217,3.7959,9/3/2023
USD,0.92584,3.8146,9/4/2023
USD,0.93188,3.795,9/5/2023
USD,0.93067,3.8066,9/6/2023
USD,0.93371,3.8473,9/7/2023
USD,0.93423,3.8455,9/8/2023
USD,0.93423,3.8455,9/9/2023
USD,0.93423,3.8455,9/10/2023
USD,0.93249,3.8344,9/11/2023
USD,0.93345,3.8028,9/12/2023
USD,0.93171,3.8213,9/13/2023
USD,0.93197,3.8221,9/14/2023
USD,0.93826,3.8068,9/15/2023
USD,0.93826,3.8068,9/16/2023
USD,0.93826,3.8068,9/17/2023
USD,0.93782,3.8273,9/18/2023
USD,0.93345,3.8015,9/19/2023
USD,0.9344,3.8081,9/20/2023
USD,0.94029,3.8096,9/21/2023
USD,0.93923,3.8071,9/22/2023
USD,0.93923,3.8071,9/23/2023
USD,0.93923,3.8071,9/24/2023
USD,0.94047,3.8031,9/25/2023
USD,0.94295,3.82,9/26/2023
USD,0.94913,3.8455,9/27/2023
USD,0.94886,3.8486,9/28/2023
USD,0.94393,3.8203,9/29/2023
USD,0.94393,3.8203,9/30/2023
USD,0.94393,3.8203,10/1/2023
USD,0.94967,3.8327,10/2/2023
USD,0.9552,3.8484,10/3/2023
USD,0.95265,3.8622,10/4/2023
USD,0.95003,3.8635,10/5/2023
USD,0.9467,3.856,10/6/2023
USD,0.9467,3.856,10/7/2023
USD,0.9467,3.856,10/8/2023
USD,0.94958,3.9271,10/9/2023
USD,0.945,3.9491,10/10/2023
USD,0.94304,3.9548,10/11/2023
USD,0.94171,3.9582,10/12/2023
USD,0.95021,3.9758,10/13/2023
USD,0.95021,3.9758,10/14/2023
USD,0.95021,3.9758,10/15/2023
USD,0.94895,3.9908,10/16/2023
USD,0.94616,3.9989,10/17/2023
USD,0.94652,4.0241,10/18/2023
USD,0.94715,4.0319,10/19/2023
USD,0.9442,4.0565,10/20/2023
USD,0.9442,4.0565,10/21/2023
USD,0.9442,4.0565,10/22/2023
USD,0.94366,4.0615,10/23/2023
USD,0.94056,4.061,10/24/2023
USD,0.94554,4.0646,10/25/2023
USD,0.94877,4.0803,10/26/2023
USD,0.94868,4.0701,10/27/2023
USD,0.94868,4.0701,10/28/2023
USD,0.94868,4.0701,10/29/2023
USD,0.94295,4.0512,10/30/2023
USD,0.94171,4.0264,10/31/2023
USD,0.94904,4.0274,11/1/2023
USD,0.938,3.9568,11/2/2023
USD,0.9344,3.9704,11/3/2023
USD,0.9344,3.9704,11/4/2023
USD,0.9344,3.9704,11/5/2023
USD,0.93101,3.8845,11/6/2023
USD,0.9358,3.8649,11/7/2023
USD,0.93712,3.8507,11/8/2023
USD,0.93537,3.8444,11/9/2023
USD,0.93607,3.8807,11/10/2023
USD,0.93607,3.8807,11/11/2023
USD,0.93607,3.8807,11/12/2023
USD,0.93721,3.8676,11/13/2023
USD,0.93249,3.8341,11/14/2023
USD,0.92013,3.7673,11/15/2023
USD,0.92174,3.7764,11/16/2023
USD,0.91979,3.724,11/17/2023
USD,0.91979,3.724,11/18/2023
USD,0.91979,3.724,11/19/2023
USD,0.91508,3.7345,11/20/2023
USD,0.91283,3.7111,11/21/2023
USD,0.91651,3.7245,11/22/2023
USD,0.91743,3.7417,11/23/2023
USD,0.91609,3.7383,11/24/2023
USD,0.91609,3.7383,11/25/2023
USD,0.91609,3.7383,11/26/2023
USD,0.91316,3.7273,11/27/2023
USD,0.91333,3.7032,11/28/2023
USD,0.91033,3.6746,11/29/2023
USD,0.91483,3.7139,11/30/2023
USD,0.91954,3.7269,12/1/2023
USD,0.91954,3.7269,12/2/2023
USD,0.91954,3.7269,12/3/2023
USD,0.92013,3.7176,12/4/2023
